GeneName	C1_normalize_thefile1	T1_normalize_thefile1	T2_normalize_thefile2	T3_normalize_thefile3
ENSG00000058668_ATP2B4	188.4812542	371.2587328	189.888284	281.8090566
ENSG00000058804_NDC1	159.493961	112.669443	200.0618688	148.0430591
ENSG00000059573_ALDH18A1	117.0984486	92.67426764	122.4184109	82.10791516
ENSG00000059588_TARBP1	109.7558523	61.27734909	112.2448261	42.2980169
ENSG00000059728_MXD1	39.33077662	54.42506991	103.2451164	311.6072393
ENSG00000060138_YBX3	368.7898795	619.6257701	438.6939219	343.5380952
ENSG00000060237_WNK1	375.4939891	343.4002863	344.4485151	327.7207696
ENSG00000060339_CCAR1	133.7629497	74.53257767	118.729089	55.6272239
ENSG00000060982_BCAT1	182.6710258	44.3151498	103.9159022	117.0008171
ENSG00000061676_NCKAP1	486.654512	315.598006	397.7200885	247.0938774
ENSG00000061794_MRPS35	130.1235759	98.06622503	101.3445566	78.13877351
ENSG00000061938_TNK2	92.58056185	68.24196072	105.9841585	97.68827712
ENSG00000062038_CDH3	417.6341069	1043.231423	438.9175172	231.5727564
ENSG00000062194_GPBP1	87.40882012	146.6500078	91.56226351	116.289926
ENSG00000062485_CS	213.2545356	115.196923	194.8632788	135.2470204
ENSG00000062650_WAPL	90.15431264	58.52520417	96.25776421	108.17392
ENSG00000062716_VMP1	157.8977445	221.8004139	279.6058865	128.9674829
ENSG00000063046_EIF4B	628.9731826	704.1559354	494.0337515	550.9997972
ENSG00000063177_RPL18	628.334696	714.9960164	572.1243999	835.8893816
ENSG00000063244_U2AF2	245.3704132	158.1079172	256.0165854	410.361853
ENSG00000063245_EPN1	181.3302039	166.7575155	211.0180371	193.9547722
ENSG00000063322_MED29	68.70116176	68.07346205	61.656396	139.3346439
ENSG00000063660_GPC1	233.5584105	163.5560408	278.2084161	195.1988315
ENSG00000064042_LIMCH1	93.85753512	156.3105981	104.2512951	64.39488007
ENSG00000064115_TM7SF3	94.04908111	87.45080892	131.8653111	67.41616699
ENSG00000064313_TAF2	164.0910648	125.6438404	158.0818567	116.1714442
ENSG00000064419_TNPO3	125.6541695	152.8282923	119.9588629	137.9128618
ENSG00000064601_CTSA	71.89359493	94.24692188	112.580219	148.2800228
ENSG00000064651_SLC12A2	77.19303398	69.47761762	91.72995997	100.3541185
ENSG00000064666_CNN2	134.7206797	240.0544363	184.5778963	74.52507739
ENSG00000064932_SBNO2	103.370986	150.244646	128.846775	96.32573596
ENSG00000064961_HMG20B	52.48360127	129.7439747	64.00414635	73.81418635
ENSG00000065000_AP3D1	230.046734	117.1065746	203.1922026	151.1828279
ENSG00000065060_UHRF1BP1	141.297092	31.90241456	47.06680457	57.99686071
ENSG00000065135_GNAI3	109.245063	181.3607335	141.2563125	154.3225967
ENSG00000065150_IPO5	294.0230947	215.5097969	326.7285899	192.1183036
ENSG00000065154_OAT	145.9580444	241.0654283	208.1671974	429.1412247
ENSG00000065243_PKN2	147.6819583	131.7659587	138.6849669	127.9011463
ENSG00000065427_KARS	280.4233294	260.6112739	279.4940889	281.512852
ENSG00000065518_NDUFB4	90.4097073	108.2884776	96.53725829	89.51303016
ENSG00000065526_SPEN	250.2229116	239.9982701	259.5941097	313.9768761
ENSG00000065534_MYLK	47.82264884	122.7793631	41.08563106	43.12738978
ENSG00000065548_ZC3H15	176.6054028	159.062743	148.0200695	146.680518
ENSG00000065613_SLK	131.1451545	141.3142166	145.2251286	63.09157983
ENSG00000065618_COL17A1	83.06711101	592.8344818	128.5672809	211.6085663
ENSG00000065809_FAM107B	83.76944631	97.78539392	72.27717138	115.7567577
ENSG00000065833_ME1	284.9565845	91.1016134	197.4346244	111.076725
ENSG00000065911_MTHFD2	329.9060435	144.178694	151.9329867	311.4887575
ENSG00000065978_YBX1	1317.453319	1538.673674	1559.968308	1441.923993
ENSG00000066044_ELAVL1	104.0094726	80.82319463	122.3625121	117.6524672
ENSG00000066084_DIP2B	122.5894336	231.7980015	138.6849669	108.2924018
ENSG00000066117_SMARCD1	101.1362827	64.42265757	87.64934627	54.50164642
ENSG00000066279_ASPM	174.7537916	114.9160919	179.5470027	26.42145033
ENSG00000066322_ELOVL1	76.17145537	118.229899	88.32013208	124.1097275
ENSG00000066422_ZBTB11	68.25422111	82.78901243	82.11536331	107.5222698
ENSG00000066777_ARFGEF1	113.9698641	86.6644818	74.68082055	40.04686194
ENSG00000067057_PFKP	105.6695378	223.7100655	184.2425034	179.7369514
ENSG00000067064_IDI1	91.23973992	86.6644818	113.4746001	99.7024684
ENSG00000067066_SP100	52.80284459	135.2482645	54.22185324	57.87837887
ENSG00000067082_KLF6	29.37038514	242.1325865	72.3330702	75.82837763
ENSG00000067167_TRAM1	217.532396	251.2315146	168.1436439	206.69157
ENSG00000067182_TNFRSF1A	97.43306026	125.4191755	115.4869575	52.9613825
ENSG00000067225_PKM	1344.589001	1664.09285	2153.222461	1711.114734
ENSG00000067334_DNTTIP2	86.32339284	102.0540269	110.735558	108.5293655
ENSG00000067560_RHOA	553.4402139	572.221478	588.1673606	534.6493032
ENSG00000067596_DHX8	94.36832442	80.20536618	88.54372735	101.2427323
ENSG00000067704_IARS2	386.4121106	172.9358	406.7756969	145.0217722
ENSG00000067955_CBFB	70.48892433	43.36032401	100.0588838	95.31864032
ENSG00000068120_COASY	113.5229234	41.6191711	118.393696	87.02491152
ENSG00000068305_MEF2A	93.66598913	78.68887816	103.1333188	78.73118271
ENSG00000068323_TFE3	96.34763299	107.6144829	71.04739739	109.5364611
ENSG00000068366_ACSL4	101.7747694	196.1324501	174.7956032	106.1004878
ENSG00000068650_ATP11A	60.2731382	58.46903795	90.61198361	108.2924018
ENSG00000068654_POLR1A	213.8930222	95.08941522	191.118058	158.7064247
ENSG00000068697_LAPTM4A	127.441932	155.7489359	136.2254189	185.898007
ENSG00000068745_IP6K2	57.59149434	60.21019086	57.57578231	100.9465277
ENSG00000068878_PSME4	211.2113783	190.7966589	204.5337742	214.2151668
ENSG00000069248_NUP133	127.3142347	90.20295384	125.6605424	74.76204107
ENSG00000069275_NUCKS1	1161.087943	759.0303351	876.5493615	251.2999827
ENSG00000069329_VPS35	265.6104395	268.8677086	255.1222043	204.7958605
ENSG00000069345_DNAJA2	125.9095641	125.4191755	127.1698104	137.2019708
ENSG00000069399_BCL3	37.15992207	135.0235996	48.1288821	38.98052538
ENSG00000069849_ATP1B3	181.0109606	117.6120706	175.8576807	256.5131837
ENSG00000069956_MAPK6	200.2294082	158.4449146	187.3169384	145.199495
ENSG00000070010_UFD1	36.5852841	35.89021638	50.42073363	134.4176475
ENSG00000070061_ELP1	164.7295514	134.349605	178.3731275	130.1523013
ENSG00000070087_PFN2	201.9533222	131.9906236	187.3728372	100.768805
ENSG00000070190_DAPP1	11.4927594	56.16622281	16.82554415	102.0128643
ENSG00000070214_SLC44A1	229.0251554	198.9407612	284.357286	165.8153352
ENSG00000070367_EXOC5	164.2187621	148.8404905	177.2551512	120.6737541
ENSG00000070413_DGCR2	71.95744359	56.22238904	95.58697839	104.9156694
ENSG00000070614_NDST1	131.5282465	75.93673324	105.7605632	121.503127
ENSG00000070756_PABPC1	1457.409589	1721.438563	1301.659871	1523.084054
ENSG00000070770_CSNK2A2	157.3869551	130.1933045	133.9894662	116.1122033
ENSG00000070814_TCOF1	219.8309479	168.9479982	306.2696226	322.1521231
ENSG00000070831_CDC42	364.320473	542.5657124	396.6021121	477.1856108
ENSG00000070961_ATP2B1	192.6314173	158.2202497	190.6708674	132.9366245
ENSG00000071054_MAP4K4	91.30358858	132.9454494	136.4490142	167.8295264
ENSG00000071082_RPL31	322.4995986	386.8729427	272.6744331	428.3710927
ENSG00000071127_WDR1	166.134222	323.2927785	241.4828928	240.0442079
ENSG00000071462_BUD23	89.51582601	101.9978606	103.1892176	141.7635216
ENSG00000071537_SEL1L	388.9660571	120.9820439	122.697905	168.5404175
ENSG00000071539_TRIP13	106.6272678	109.1871371	152.7155702	95.14091756
ENSG00000071564_TCF3	160.068599	77.67788615	116.884428	108.9440519
ENSG00000071626_DAZAP1	172.4552397	174.9577841	173.9012221	208.4687976
ENSG00000072042_RDH11	174.9453376	116.5449123	187.6523313	202.248501
ENSG00000072110_ACTN1	476.8218179	1599.894857	789.9620928	547.8007875
ENSG00000072210_ALDH3A2	301.2379937	112.3324456	263.2834317	155.0927286
ENSG00000072274_TFRC	1410.480822	3971.401283	2556.979621	3396.874354
ENSG00000072310_SREBF1	412.4623652	126.2616689	287.4876198	109.2994974
ENSG00000072364_AFF4	209.8067077	279.4831247	206.0989411	292.8278677
ENSG00000072501_SMC1A	227.8758795	157.8832523	235.0545287	225.7079053
ENSG00000072518_MARK2	68.38191844	77.11622392	75.40750518	105.4488376
ENSG00000072682_P4HA2	20.49542093	73.858583	57.18449058	101.6574188
ENSG00000072778_ACADVL	198.760889	270.2718642	291.3446382	231.2765518
ENSG00000072786_STK10	58.16613231	82.78901243	102.1271401	127.2494962
ENSG00000072864_NDE1	51.07893068	106.9404882	48.24067974	33.41187889
ENSG00000073008_PVR	90.02661532	128.058988	91.8417576	185.898007
ENSG00000073060_SCARB1	482.2489542	554.9222814	597.0552726	263.681335
ENSG00000073111_MCM2	230.621372	256.5111396	273.9601059	305.6239064
ENSG00000073282_TP63	589.8978006	947.0186829	466.4197355	136.6688025
ENSG00000073578_SDHA	258.5870865	256.117976	274.1278024	237.2006438
ENSG00000073712_FERMT2	255.3308047	493.307935	195.9253563	110.3065931
ENSG00000073756_PTGS2	59.44310557	666.6368986	176.0253772	205.5659925
ENSG00000073792_IGF2BP2	120.6101251	178.4962561	134.7161508	97.6290362
ENSG00000073921_PICALM	203.7410847	417.5397004	251.6005788	306.2755565
